Timestamp,Description of the situation the animal is in,Animal type,TypeOfSituation
15-08-2021 18.13,"went for a jungle tour, found a couple of poachers, killing elephants and cutting out their tusks. we tried helping a couple of these elephants but in vain. we haven't gotten a clear picture of who these poachers are. Please help and bring police with you.",Elephant,Cruelty being done
15-08-2021 18.14,there is a pet shop near my house that literally sells lion and tiger cubs. they keep it on the low and the shop is in the basement where there is no light and people can't see.,lion/tiger/leopard/cheetah(big carnivorous),Illegal pet shop
15-08-2021 18.16,there are these 3 men who capture and cage parrots in my area on a daily basis. i don't know where they take these parrots but i've seen them capturing these parrots in the open and nobody say anything to them. Please take action.,Bird (except pigeon),Caging of birds.
15-08-2021 18.17,we have 2 guinea pigs at home and we are giving them up for adoption as we aren't good at taking care of them. ,Pig,Adoption
15-08-2021 18.18,"Hawk like bird stack in between electrical wires in my area, could be severely hurt. the electrical lines could catch fire and burn this bird. please help.",Bird (except pigeon),Rescue
15-08-2021 18.26,Donkeys being beaten up with sticks by farmer type people in front of my house to carry load. idk if this is legal/illegal but it definitely is animal cruelty. please help these animals.,Donkey,Cruelty being done
16-08-2021 10.36,ANIMAL HAS BUILD A NEST IN CHIMNEY AND THE BIRD IS STUCK IN IT ,Bird (except pigeon),Seems lost / displaced / abandoned
16-08-2021 10.38,RABBIT GAVE BIRTH TO SMALL KITS AND I HAVE NO WHERE TO KEEP THEM ,Rabbit,Adoption
16-08-2021 10.40,I HAVE HEARD RUMORS THAT PET SHOP NEAR MY HOUSE ARE BREADING A GOLDEN RETRIEVER WITH A HUSKY  ,Dog,Illegal breeding
16-08-2021 10.41,"I HAVE A FOUND A CAT ON THE STREET AND ADOPTED HIM , HE NEEDS NEUTERING AND INJECTIONS  ",Cat,Neutering
16-08-2021 10.43,THERE IS A ILLEGAL PET SHOP IN MY BUILDING THESE PEOPLE SELL ANIMALS DIRECTLY FROM THEIR HOUSE AND THEIR ENTIRE APARTMENT SMELLS CAUSE THEY HAVE BEEN KEEPING ANIMALS INDOORS,Dog,Illegal pet shop
16-08-2021 10.45,CATTLE IS STUCK BETWEEN TWO TREE TRUNKS AND HAS BEEN VERY EXHAUSTED AS ITS BEEN TRYING TO ESCAPE,Cattle,Seems lost / displaced / abandoned
16-08-2021 10.46,UNKNOWN SNAKE IN BUILDING HAS BEEN SPOTTED IN THE SECOND FLOOR OF SYMPHONY NEAR PES COLLEGE,Snake,Seems lost / displaced / abandoned
16-08-2021 10.47,ABANDONED DOG NEEDS NEUTERING BEING DONE ,Dog,Neutering
16-08-2021 10.48,PET MONKEY HAS COME TO AN AGE WHERE IF NEUTERING NOT DONE WILL LEAD TO AGGRESSIVE BEHAVIOR  ,Monkey,Neutering
16-08-2021 10.50,MY COLLEGE GUARD CAUGHT A SNAKE THE OTHER DAY AND NOW I SAW THE SNAKE IN A GLASS AQUARIUM IN THE GUARD ROOM  ,Snake,Illegal possession of animal / exotic/ endangered species
16-08-2021 10.52,A VERY AGGRESSIVE DOG NEAR MY COLLEGE  ,Dog,Seems lost / displaced / abandoned
16-08-2021 10.53,YOUNG CAT TRAPPED IN RIVER AND THE STREAM IS VERY FAST AS A RESULT I COULDN'T HELP THE CAT,Cat,Rescue
16-08-2021 11.04,KITTENS ARE LEFT BEHIND IN A BOX AND NO ONE COME TO PICK THEM UP ,Cat,Adoption
16-08-2021 18.29,new neighborhood and idk the vets nearby need help for my golden retriever  ,Dog,Neutering
18-08-2021 14.02,Monkeys here are causing lot of menace. They come to balconies and open windows to enter inside our homes. Please take them away,Monkey,Rescue
18-08-2021 14.02,My pet rabbit is not eating since few days. Please advise,Rabbit,Injured /Sick
18-08-2021 14.04,Wanted to know if pigeons can cause some diseases to humans if we are feeding them,Pigeon,Rescue
04-09-2021 15.00,a peacock stuck in nets of football goal in a public ground ,Peacock,Rescue
10-09-2021 9.44,The street dogs in my apartment area require neutering as they are getting aggressive  ,Dog,Neutering
10-09-2021 9.45,my cat needs neutering as its almost 5 months old ,Cat,Neutering
10-09-2021 9.46,a cat recently walked into my house and now its living with us idk if neutering has been done already ,Cat,Neutering
10-09-2021 9.47,"my cat got a friend and they both stay in my back yard, the other cat is stray and thats why need to get all the check up done ",Cat,Neutering
10-09-2021 9.48,cat needs neutering being done very urgent as its getting aggressive and aggressive,Cat,Neutering
10-09-2021 9.49,cat needs neutering new to this place ,Cat,Neutering
10-09-2021 9.50,my pet need neutering to be done and im in a complete alien place can you guys please help me out ,Cat,Neutering
10-09-2021 9.51,me and my neighbor bought two cats they are almost the same age can i get neutering done from the closest place ? ,Cat,Neutering
10-09-2021 23.13,a cow that comes near my house everyday looks kinda weak and i think its sick ,Cattle,Weak / Underfed / Malnourished
19-09-2021 0.37,I heard cows are illegally being bred by a local farm to have offspring faster this is straight up animal cruelty  ,Cattle,Illegal breeding
19-09-2021 0.38,i run a local shed for cattle safety and abandoned cattle i have a lot of cows and bulls but i have noticed that many cows are going missing and i am scared that they are taken illegally by the butcher shop  ,Cattle,Illegal possession of animal / exotic/ endangered species
19-09-2021 1.36,Cattles are weak underfed and malnourished and are in need of serious help ,Cattle,Weak / Underfed / Malnourished
19-09-2021 1.47,abandoned cattle with a marking on it. it is not injures just lost i feel ,Cattle,Seems lost / displaced / abandoned
08-10-2021 14.16,Cattles cows buffalos are underfed and kept in very bad condition and no one is caring about them cause they are old and arent of any help  ,Cattle,Weak / Underfed / Malnourished
08-10-2021 14.17,cat is getting old and needs neutering to be done ,Cat,Neutering
08-10-2021 15.13,Cattles have been missing and i think the slaughter house close by have stolen them ,Cattle,Illegal possession of animal / exotic/ endangered species
13-10-2021 21.42,a cow seems lost and is in middle of the road and is completely confused and cause traffic jams ,Cattle,Seems lost / displaced / abandoned
13-10-2021 21.47,old cattle are being beaten and tortured and given less food cause they cant provide anymore this is pure cruelty ,Cattle,Cruelty being done
13-10-2021 21.49,Donkey head is stuck between two tree trunks and it has been trying to escape which has injured it very badly,Donkey,Rescue
13-10-2021 21.54,dockey seems very hurt and cant move seems exhausted and looks malnourished its been here for a very long time ,Donkey,Seems lost / displaced / abandoned
13-10-2021 21.57,A dockey was spotted very close to my house and its been coming here for quite some time seems very bony and weak i dont know how to help it. ,Donkey,Weak / Underfed / Malnourished
13-10-2021 22.00,bulls are being forcefully bred by people for some competition idk how legal this is ,Cattle,Illegal breeding
13-10-2021 22.01,A piglet is stuck in a hole in the ground after the rain i cant help it to come out ,Pig,Rescue
13-10-2021 22.02,a wild pig is running in the market i dont know from where it came but its causing a lot of trouble ,Pig,Seems lost / displaced / abandoned
13-10-2021 22.05,a pigeon stuck in the netting in my balcony i need help and its flapping its wings aggressively when i try to help it ,Pigeon,Rescue
13-10-2021 22.14,An old horse has been abandoned at a open ground near my house it seems to be injured and lost ,Horse,Seems lost / displaced / abandoned
13-10-2021 22.22,squirell stuck in the rainwater piping and its making all kind of scratching noises ,Squirrel,Rescue
13-10-2021 22.28,"Injured pigeon, seems to be bleeding",Pigeon,Injured /Sick
13-10-2021 22.29,Abandoned pigeon with broken wing,Pigeon,Injured /Sick
13-10-2021 22.30,Pigeon being bullied by kids next to the lake,Pigeon,Cruelty being done
13-10-2021 22.31,Pigeon with a nametag stuck in gate,Pigeon,Seems lost / displaced / abandoned
13-10-2021 22.32,Abandoned pigeon too weak to get up,Pigeon,Weak / Underfed / Malnourished
13-10-2021 22.33,Pigeon left in a box on the footpath,Pigeon,Seems lost / displaced / abandoned
13-10-2021 22.34,Pigeon with a bleeding leg after falling from a tree,Pigeon,Injured /Sick
13-10-2021 22.34,Squirrels being hit by a car,Squirrel,Rescue
13-10-2021 22.35,"Pigeon with a scar, seems lost and hungry",Pigeon,Seems lost / displaced / abandoned
13-10-2021 22.36,Pigeon injured after fighting a cat,Pigeon,Injured /Sick
13-10-2021 22.37,Pigeon left in a box in the park,Pigeon,Seems lost / displaced / abandoned
13-10-2021 22.37,"Injured squirrel, bleeding",Squirrel,Rescue
13-10-2021 22.37,"Abandoned pigeon, looks hungry and weak",Pigeon,Weak / Underfed / Malnourished
13-10-2021 22.38,Pigeon with a broken wing not able to get up,Pigeon,Injured /Sick
13-10-2021 22.39,"Pigeon stuck in netting, looks injured",Pigeon,Injured /Sick
13-10-2021 22.39,"Pigeon lying on the ground with very less movement, looks sick",Pigeon,Injured /Sick
13-10-2021 22.46,"It's an injured squirrel on a side of the road, could get run over. ",Squirrel,Injured /Sick
14-10-2021 22.24,Injured cow roaming in the street. It is not injured.,Cattle,Injured /Sick
14-10-2021 22.26,Cows kicked and punched in the dairy farm. ,Cattle,Cruelty being done
14-10-2021 22.31,"Calves are dragged by legs, thrown, slammed, and flipped. They look very injured.",Cattle,Cruelty being done
14-10-2021 22.34,Cows being beaten when they refused to enter a milking carouse,Cattle,Cruelty being done
14-10-2021 22.35,Cows caught in machinery and severely injured.,Cattle,Injured /Sick
